Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
000377	VIA CROCE VITANTONIO	CROCE VITANTONIO              	1		
000379	VIA CROCIFISSO	CROCIFISSO                    	1		
000381	VIA CROTONE	CROTONE                       	1		
000383	VIA CUFRA	CUFRA                         	1		
000385	VIA CUNEO	CUNEO                         	1		
000389	VIA CURTATONE	CURTATONE                     	1		
000391	VIA CUSANI M.	CUSANI M.                     	1		
000393	VIA CUSTOZA	CUSTOZA                       	1		
000395	VIA D'ALESIO M.	D'ALESIO M.                   	1		
000399	VIA D'ALTAMURA EUG.	D'ALTAMURA EUG.               	1		
000401	VIA D'ANNUNZIO G.	D'ANNUNZIO G.                 	1		
000403	VIA D'AZEGLIO M.	D'AZEGLIO M.                  	1		
002305	VIA D. DE LUCIA	DE LUCIA	1		
000394	VIA DA BRESCIA A	DA BRESCIA A                  	1		
000397	VIA DALMAZIA	DALMAZIA                      	1		
000405	VIA DE AMICIS E.	DE AMICIS E.                  	1		
000408	VIA DE CRISTOFORIS	DE CRISTOFORIS                	1		
000409	VIA DE DEO E.	DE DEO E.                     	1		
000411	VIA DE FERRARI S.	DE FERRARI S.                 	1		
000413	VIA DE GASPERI A.	DE GASPERI A.                 	1		
000415	VIA DE GIOSA N.	DE GIOSA N.                   	1		
000433	VIA DE NORA G.	DE NORA G.                    	1		
000439	VIA DE PINEDO	DE PINEDO                     	1		
000445	VIA DE SAMUELE CAGNAZZI LUCA	 DE SAMUELE CAGNAZZ LUCA      	1		
000447	VIA DE SANCTIS	DE SANCTIS                    	1		
002221	VIA DEI DONATORI DI SANGUE	DONATORI DI SANGUE	1		
000422	VIA DEI MILLE	DEI MILLE                     	1		
002227	VIA DEL CILIEGIO	DEL CILIEGIO	1		
002254	VIA DEL COTOGNO	COTOGNO	ALTAMURA	1	CO
002032	VIA DEL FIENO	DEL FIENO                     	1		
000424	VIA DEL FRAGNO	DEL FRAGNO                    	1		
002019	VIA DEL GELSO	DEL GELSO                     	1		
002030	VIA DEL GRANO	DEL GRANO                     	1		
002028	VIA DEL LECCIO	DEL LECCIO                    	1		
002040	VIA DEL LENTISCO	DEL LENTISCO                  	1		
002042	VIA DEL LINO	DEL LINO		1	CO
002021	VIA DEL MANDORLO	DEL MANDORLO                  	1		
002228	VIA DEL MANDORLO - COMANDO P.L.	DEL MANDORLO	1		
002331	VIA DEL MELO	MELO	1		
002252	VIA DEL MELOGRANO	DEL MELOGRANO	1		
002024	VIA DEL NOCE	DEL NOCE                      	1		
002007	VIA DEL PAPAVERO	DEL PAPAVERO                  	1		
002037	VIA DEL PERAZZO	DEL PERAZZO                   	1		
002050	VIA DEL SERPINO	DEL SERPINO                   	1		
002226	VIA DEL TABACCO	DEL TABACCO                   	1		
002219	VIA DEL TIMO	TIMO	1	1	CO
001569	VIA DEL VOLANTE	VOLANTE                       	1		
002339	VIA DELL'ASFODELO	ASFODELO	1		
002256	VIA DELL'OLMO	OLMO	ALTAMURA	1	CO
002334	VIA DELL'ORTICA	ORTICA		1	CO
002333	VIA DELL'ORZO	ORZO	1		
002255	VIA DELL'ULIVO	ULIVO	ALTAMURA	1	CO
002034	VIA DELL'UVA SPINA	DELL'UVA SPINA                	1		
002025	VIA DELLA CICORIELLA	DELLA CICORIELLA              	1		
002088	VIA DELLA FERULA	DELLA 	1		
002035	VIA DELLA PAGLIA	DELLA PAGLIA                  	1		
002041	VIA DELLA QUERCIA	QUERCIA	ALTAMURA	1	CO
002026	VIA DELLA ROVERELLA	DELLA ROVERELLA              	1		
000427	VIA DELLE CAPPELLE	DELLE CAPPELLE                	1		
002023	VIA DELLE MORE	DELLE MORE                    	1		
001560	VIA DELLE NAZIONI	NAZIONI	1		
002009	VIA DELLO SGARRONE	DELLO SGARRONE                	1		
000441	VIA DERNA	DERNA                         	1		
000455	VIA DI LEO F.	DI LEO F.                     	1		
000033	VIA DI SAVOIA A	DI SAVOIA A                   	1		
000459	VIA DI VAGNO G.	DI VAGNO G.                   	1		
000460	VIA DI VITTORIO G	DI VITTORIO G                 	1		
000451	VIA DIAZ A	DIAZ A                        	1		
000457	VIA DIRENZO M.	DIRENZO M.                    	1		
000461	VIA DOGALI	DOGALI                        	1		
000463	VIA DOLOMITI	DOLOMITI                      	1		
000454	VIA DON GIOVANNI DI LEONE	DI LEONE			
000465	VIA DONIZETTI	DONIZETTI                     	1		
000467	VIA DORIA A	DORIA A                       	1		
000605	VIA DUE GIUGNO	DUE GIUGNO                    	1		
000469	VIA DUINO	DUINO                         	1		
000473	VIA DURAZZO	DURAZZO                       	1		
000475	VIA EGUAGLIANZA	EGUAGLIANZA                   	1		
000477	VIA EINAUDI	EINAUDI                       	1		
001600	VIA ELLEN KELLER	KELLER ELLEN	ALTAMURA	1	CO
000479	VIA EMILIA	EMILIA                        	1		
000481	VIA ENNA	ENNA                          	1		
000485	VIA ERCOLANO	ERCOLANO                      	1		
000487	VIA ERITREA	ERITREA                       	1		
000489	VIA ERMADA	ERMADA                        	1		
000491	VIA ETNA	ETNA                          	1		
001502	VIA F.LLI CAGNAZZI				
000495	VIA FAENZA	FAENZA                        	1		
000496	VIA FALCONE G.NNI	FALCONE G.NNI                 	1		
000462	VIA FALCONE GIOVANNI	FALCONE GIOVANNI              	1		
000497	VIA FALCONI GIAND.	FALCONI GIAND.                	1		
000499	VIA FANFULLA	FANFULLA                      	1		
000501	VIA FANO	FANO                          	1		
000505	VIA FASANO	FASANO                        	1		
000504	VIA FEDRO	FEDRO                         	1		
000507	VIA FERRARA	FERRARA                       	1		
000508	VIA FERRI ROCCO	FERRI ROCCO                   	1		
000509	VIA FERRUCCIO F	FERRUCCIO F                   	1		
000513	VIA FEZZAN	FEZZAN                        	1		
000517	VIA FILANGIERI	FILANGIERI                    	1		
000521	VIA FILO B.	FILO B.                       	1		
000523	VIA FILO P.	FILO P.                       	1		
000519	VIA FILZI F.	FILZI F.                      	1		
000525	VIA FIORE C.	FIORE C.                      	1		
000527	VIA FIORE T.	FIORE T.                      	1		
000531	VIA FIRENZE	FIRENZE                       	1		
000533	VIA FIUME	FIUME                         	1		
000524	VIA FLACCO ORAZIO	FLACCO ORAZIO                 	1		
000095	VIA FLLI BALDASSARRA	FLLI BALDASSARRA              	1		
000097	VIA FLLI BANDIERA	FLLI BANDIERA                 	1		
000535	VIA FOGAZZARO	FOGAZZARO                     	1		
000537	VIA FOGGIA	FOGGIA                        	1		
000539	VIA FOGGIALI	FOGGIALI                      	1		
000541	VIA FOLIGNO	FOLIGNO                       	1		
000542	VIA FONTANELLE	FONTANELLE                    	1		
000543	VIA FORLI'	FORLI'                        	1		
000545	VIA FORNO NUOVO	FORNO NUOVO                   	1		
000547	VIA FORTORE	FORTORE                       	1		
000549	VIA FORTUNATO G.	FORTUNATO G.                  	1		
000550	VIA FORTUNATO SALVATORE	FORTUNATO SALVATORE           	1		
000551	VIA FOSCOLO U	FOSCOLO U                     	1		
000553	VIA FRANCO DIEGO	FRANCO DIEGO                  	1		
000555	VIA FRASCATI	FRASCATI                      	1		
000557	VIA FROSINONE	FROSINONE                     	1		
000558	VIA FUI A.	FUI A.                        	1		
002262	VIA G. COLONNA	COLONNA	1		
000498	VIA G. FALCICCHIO	FALCICCHIO G.	1	1	CO
000559	VIA GAETA	GAETA                         	1		
000561	VIA GALILEI G.	GALILEI G.                    	1		
000563	VIA GALLIANO G	GALLIANO G                    	1		
000567	VIA GARGANO	GARGANO                       	1		
000565	VIA GARIBALDI	GARIBALDI                     	1		
000569	VIA GARIGLIANO	GARIGLIANO                    	1		
000577	VIA GEMONA	GEMONA                        	1		
000841	VIA GEN MEDICI	GEN MEDICI                    	1		
000575	VIA GENCO G	GENCO G                       	1		
000579	VIA GENOVA	GENOVA                        	1		
000580	VIA GENTILE	GENTILE                       	1		
000581	VIA GIALO	GIALO                         	1		
000582	VIA GIANCASPRO CARLO	GIANCASPRO			
000583	VIA GIANNELLI M.LE	GIANNELLI M.LE                	1		
000587	VIA GIANNUZZI G	GIANNUZZI G                   	1		
000589	VIA GIARABUB	GIARABUB                      	1		
000591	VIA GIOBERTI V	GIOBERTI V                    	1		
000593	VIA GIORDANO B	GIORDANO B                    	1		
000595	VIA GIORDANO U	GIORDANO U                    	1		
000599	VIA GIOTTO	GIOTTO                        	1		
001008	VIA GIOV. PAOLO I	GIOV. PAOLO I                 	1		
002246	VIA GIOVANNI PAOLO I	GIOVANNI PAOLO I			
002313	VIA GIOVANNI PAOLO II	PAOLO	1		
002314	VIA GIOVINAZZO	GIOVINAZZO	ALTAMURA	1	CO
000601	VIA GIRGENTI	GIRGENTI                      	1		
000609	VIA GIUSTI G	GIUSTI G                      	1		
000611	VIA GIUSTINIANO	GIUSTINIANO                   	1		
000613	VIA GOITO	GOITO                         	1		
000615	VIA GOLGOTA	GOLGOTA                       	1		
000617	VIA GONDAR	GONDAR                        	1		
000619	VIA GORIZIA	GORIZIA                       	1		
000571	VIA GOZZI G	GOZZI G                       	1		
000621	VIA GRADISCA	GRADISCA                      	1		
000623	VIA GRADO	GRADO                         	1		
002347	VIA GRAMEGNA	GRAMEGNA			
000625	VIA GRAMSCI	GRAMSCI                       	1		
000627	VIA GRAVINA	GRAVINA                       	1		
002248	VIA GRAVINA FRONTE UFF. POSTALE	GRAVINA	1		
002013	VIA GRAVISCELLA	GRAVISCELLA                   	1		
000629	VIA GRIFFI GIAND.CO	GRIFFI GIAND.CO               	1		
000631	VIA GROSSI T.	GROSSI T.                     	1		
000632	VIA GROTTA FORMICA	GROTTA FORMICA                	1		
000635	VIA GUERRAZZI	GUERRAZZI                     	1		
000637	VIA HARRAR	HARRAR                        	1		
002343	VIA HELSINKY	HELSINKY			CO
000641	VIA IGNANNINO	IGNANNINO                     	1		
000643	VIA IMBRIANI	IMBRIANI                      	1		
000645	VIA IMOLA	IMOLA                         	1		
000647	VIA IMPERIA	IMPERIA                       	1		
000649	VIA INDIPENDENZA	INDIPENDENZA                  	1		
000650	VIA INDRIO RENATO	INDRIO			
000653	VIA ISERNIA	ISERNIA                       	1		
000655	VIA ISONZO	ISONZO                        	1		
000657	VIA ISTRIA	ISTRIA                        	1		
000951	VIA IV NOVEMBRE	IV NOVEMBRE                   	1		
002281	VIA L. LORUSSO	LORUSSO	1		
000665	VIA LA CARRERA	LA CARRERA                    	1		
000666	VIA LA CARRERA DIFRONTE CIV.	LA CARRERA DIFRONTE CIV.      	1		
002242	VIA LA CARRERA FRONTE VIA TRIZIO	CARRERA	1		
000668	VIA LA CARRERA LATO M. MEGALIT	LA CARRERA LATO M. MEGALITICHE	1		
000681	VIA LA MAGGIORE	LA MAGGIORE                   	1		
000689	VIA LA SPEZIA	LA SPEZIA                     	1		
000673	VIA LAGO D'ISEO	LAGO D'ISEO                   	1		
000669	VIA LAGO DI BRACCIANO	LAGO DI BRACCIANO             	1		
000671	VIA LAGO DI GARDA	LAGO DI GARDA                 	1		
000675	VIA LAGO MAGGIORE	LAGO MAGGIORE                 	1		
000677	VIA LAGO PASSARELLO	LAGO PASSARELLO               	1		
000679	VIA LAGO TRASIMENO	LAGO TRASIMENO                	1		
002253	VIA LAMA DI CERVO	CERVO	1		
000683	VIA LAMALFA U	LAMALFA U                     	1		
000685	VIA LAMARMORA	LAMARMORA                     	1		
000691	VIA LATINA	LATINA                        	1		
000692	VIA LAUDATI	LAUDATI                       	1		
000693	VIA LAUDATI L.	LAUDATI L                     	1		
000697	VIA LAVIGNA	LAVIGNA                       	1		
000699	VIA LAZIO	LAZIO                         	1		
000702	VIA LE FOGGE	LE FOGGE                      	1		
015155	VIA LE FORNACI	VIA LE FORNACI			
000701	VIA LECCE	LECCE                         	1		
000703	VIA LECCO	LECCO                         	1		
000705	VIA LEGNAGO	LEGNAGO                       	1		
000709	VIA LEONCAVALLO	LEONCAVALLO                   	1		
000711	VIA LEOPARDI G	LEOPARDI G                    	1		
000714	VIA LEVI C.	LEVI C.                      	1		
000715	VIA LIBERTA'	LIBERTA'                      	1		
000717	VIA LIBIA	LIBIA                         	1		
000719	VIA LIGURIA	LIGURIA                       	1		
000721	VIA LIPARI	LIPARI                        	1		
000723	VIA LIRI	LIRI                          	1		
000725	VIA LIVENZA	LIVENZA                       	1		
000727	VIA LIVORNO	LIVORNO                       	1		
000728	VIA LOCOROTONDO	LOCOROTONDO                   	1		
000729	VIA LODI	LODI                          	1		
000731	VIA LOIUDICE P	LOIUDICE P                    	1		
000733	VIA LOMBARDIA	LOMBARDIA                     	1		
000734	VIA LONDRA	LONDRA                        	1		
000736	VIA LOPORCARO FILOMENA	LOPORCARO FILOMENA		1	
000737	VIA LORETO	LORETO                        	1		
000738	VIA LORUSSO STEFANO	LORUSSO STEFANO		1	CO
000741	VIA LUCANIA	LUCANIA                       	1		
000743	VIA LUCCA	LUCCA                         	1		
000745	VIA LUCERA	LUCERA                        	1		
000747	VIA LUCIANI G	LUCIANI G                     	1		
000749	VIA LUCIANI R	LUCIANI R                     	1		
000751	VIA LUSSINO	LUSSINO                       	1		
002309	VIA M. VITERBO	VITERBO	1		
000753	VIA MACALLE'	MACALLE'                      	1		
000755	VIA MACERATA	MACERATA                      	1		
000757	VIA MACHIAVELLI	MACHIAVELLI                   	1		
000763	VIA MAD DEI MARTIRI	MAD DEI MARTIRI               	1		
000761	VIA MAD DELLA CROCE	MAD DELLA CROCE               	1		
000759	VIA MADDALENA U	MADDALENA U                   	1		
000760	VIA MADRE TERESA DI CALCUTTA	MADRE TERESA DI CALCUTTA      	1		
000758	VIA MADRID	MADRID	1		
002307	VIA MAESTRI DEL LAVORO	MAESTRI	1		
000765	VIA MAGENTA	MAGENTA                       	1		
000767	VIA MAGGI FSCO	MAGGI FSCO                    	1		
000771	VIA MAGGIO 1648	MAGGIO 1648                   	1		
000770	VIA MAGGIO 1648 MERCATO GIORNALIERO	MAGGIO 1648	1	1	CO
000775	VIA MAMELI G	MAMELI G                      	1		
000777	VIA MANARA L	MANARA L                      	1		
000781	VIA MANFREDI	MANFREDI                      	1		
000783	VIA MANFREDONIA	MANFREDONIA                   	1		
000785	VIA MANIN D	MANIN D                       	1		
000787	VIA MANTOVA	MANTOVA                       	1		
000789	VIA MANZONI	MANZONI                       	1		
000798	VIA MANZONI FRONTE GIARDINI PUBBL	MANZONI	ALTAMURA	1	CO
000788	VIA MANZONI FRONTE PALAZZETTO SPORT	VIA MANZONI		1	CO
000790	VIA MANZONI- QUARTARELLA	MANZONI- QUARTARELLA          	1		
000791	VIA MARCHE	MARCHE                        	1		
000793	VIA MARCHETTI	MARCHETTI                     	1		
001364	VIA MARCO AURELIO	MARCO AURELIO                 	1		
000797	VIA MARECCHIA	MARECCHIA                     	1		
000799	VIA MARENGO	MARENGO                       	1		
000912	VIA MARIA MONTESSORI	MONTESSORI			
000801	VIA MARMARICA	MARMARICA                     	1		
000803	VIA MARMOLADA	MARMOLADA                     	1		
000807	VIA MARONCELLI	MARONCELLI                    	1		
000809	VIA MARSALA	MARSALA                       	1		
001368	VIA MARTIN LUTER KING	MARTIN LUTER KING	1		
002311	VIA MARTIRI 11 SETTEMBRE 2001	MARTIRI	1		
000813	VIA MARTIRI BELFIORE	MARTIRI BELFIORE              	1		
000817	VIA MARTUCCI L	MARTUCCI L                    	1		
000823	VIA MARZABOTTO	MARZABOTTO                    	1		
000825	VIA MASANIELLO	MASANIELLO                    	1		
000827	VIA MASCAGNI	MASCAGNI                      	1		
000829	VIA MASSARI	MASSARI                       	1		
000831	VIA MASSAUA	MASSAUA                       	1		
000833	VIA MASTRANGELO	MASTRANGELO                   	1		
000835	VIA MATERA	MATERA                        	1		
000834	VIA MATERA ROND 	VIA MATERA 		1	CO
000925	VIA MAZARA DEL VALLO	MAZARA DEL VALLO              	1		
000839	VIA MAZZINI	MAZZINI                       	1		
000843	VIA MELODIA N.	MELODIA N                     	1		
000845	VIA MELODIA V.ZO	MELODIA V.ZO                  	1		
000844	VIA MELVIN JONES	MELVIN JONES		1	CO
000847	VIA MENOTTI CIRO	MENOTTI CIRO                  	1		
000849	VIA MENTANA	MENTANA                       	1		
000851	VIA MERANO	MERANO                        	1		
000852	VIA MERANO FRONTE QUARTARELLA	VIA MERANO	ALTAMURA	1	CO
000859	VIA MERCANTINI	MERCANTINI                    	1		
000861	VIA MESSINA	MESSINA                       	1		
000863	VIA MESTRE	MESTRE                        	1		
000865	VIA METASTASIO	METASTASIO                    	1		
000867	VIA METAURO	METAURO                       	1		
000869	VIA MEUCCI A	MEUCCI A                      	1		
000871	VIA MICCA P	MICCA P                       	1		
000873	VIA MILANO	MILANO                        	1		
000875	VIA MILAZZO	MILAZZO                       	1		
000877	VIA MINCIO	MINCIO                        	1		
000879	VIA MINNITI	MINNITI                       	1		
000880	VIA MINNITI LATO SCUOLA	MINNITI LATO SCUOLA           	1		
000885	VIA MODENA	MODENA                        	1		
000887	VIA MOGADISCIO	MOGADISCIO                    	1		
000891	VIA MOLFETTA	MOLFETTA                      	1		
000889	VIA MOLISE	MOLISE                        	1		
000893	VIA MONFALCONE	MONFALCONE                    	1		
000897	VIA MONOPOLI	MONOPOLI                      	1		
001260	VIA MONS. D.CO CHIERICO	CHIERICO			
000898	VIA MONTALE E.	MONTALE E                     	1		
000899	VIA MONTANARA	MONTANARA                     	1		
000909	VIA MONTE SABOTINO	MONTE SABOTINO                	1		
000900	VIA MONTEBIANCO	MONTEBIANCO                   	1		
000901	VIA MONTECALVARIO	MONTECALVARIO                 	1		
000903	VIA MONTECASSINO	MONTECASSINO                  	1		
000905	VIA MONTECUCCO	MONTECUCCO                    	1		
000907	VIA MONTEGRAPPA	MONTEGRAPPA                   	1		
000908	VIA MONTEPOLLINO	MONTEPOLLINO                  	1		
000910	VIA MONTEROSA	MONTEROSA                     	1		
000911	VIA MONTEVERDI	MONTEVERDI                    	1		
000915	VIA MONTI VZO	MONTI VZO                     	1		
000913	VIA MONTICCHIO	MONTICCHIO                    	1		
000917	VIA MORLACCHI	MORLACCHI                     	1		
002279	VIA MOSCA	MOSCA	1		
000922	VIA MURA M. LATO STADIO 	MURA MEGALITICHE	ALTAMURA	1	CO
000923	VIA MURA MEGALITICHE	MURA MEGALITICHE              	1		
000927	VIA NAPOLI	NAPOLI                        	1		
000929	VIA NEGHELLI	NEGHELLI                      	1		
000931	VIA NENNI P	NENNI P                       	1		
000933	VIA NETTUNO	NETTUNO                       	1		
000934	VIA NEVIERA	NEVIERA                       	1		
000935	VIA NICOLAI F	NICOLAI F                     	1		
000937	VIA NICOSIA	NICOSIA                       	1		
000939	VIA NICOTERA F	NICOTERA F                    	1		
000941	VIA NIZZA	NIZZA                         	1		
000943	VIA NOLA	NOLA                          	1		
000002	VIA NON RIPORTATA	NON RIPORTATA                 	1		
000945	VIA NORCIA	NORCIA                        	1		
000947	VIA NOTAR PIETRO	NOTAR PIETRO                  	1		
000949	VIA NOVARA	NOVARA                        	1		
000953	VIA NUORO	NUORO                         	1		
000955	VIA NUZZI P	NUZZI P                       	1		
002260	VIA O.PERSIO	PERSIO	1		
000959	VIA OBERDAN S	OBERDAN S                     	1		
000961	VIA OFANTO	OFANTO                        	1		
000962	VIA OFANTO LATO SCUOLE A. MORO	OFANTO	ALTAMURA	1	CO
000963	VIA OGLIO	OGLIO                         	1		
000965	VIA OMBRONE	OMBRONE                       	1		
000969	VIA ORBETELLO	ORBETELLO                     	1		
000973	VIA ORISTANO	ORISTANO                      	1		
000975	VIA ORSINI F	ORSINI F                      	1		
000977	VIA ORVIETO	ORVIETO                       	1		
000981	VIA OSOPPO	OSOPPO                        	1		
000979	VIA OSPEDALE VECCHIO	OSPEDALE VECCHIO              	1		
000982	VIA OSTUNI	OSTUNI			
001229	VIA OTTAVIO SERENA	OTTAVIO SERENA                	1		
000983	VIA OVIDIO	OVIDIO                        	1		
000984	VIA PACCIARELLA	PACCIARELLA                   	1		
002247	VIA PACCIARELLA LATO CASERMA CC	PACCIARELLA	1		
002259	VIA PACCIARELLA LATO PALAZZETTO	PACCIARELLA	1		
000987	VIA PACINI G	PACINI G                      	1		
000985	VIA PADOVA	PADOVA                        	1		
000989	VIA PAGANINI	PAGANINI                      	1		
000991	VIA PAGANO M	PAGANO M                      	1		
000993	VIA PAISIELLO	PAISIELLO                     	1		
000995	VIA PALERMO	PALERMO                       	1		
000997	VIA PALESTRINA	PALESTRINA                    	1		
000999	VIA PALESTRO	PALESTRO                      	1		
002346	VIA PAOLO VI	PAOLO			
001002	VIA PAPA GIOVANNI XXIII	PAPA GIOVANNI XXIII           	1		
001004	VIA PARIGI	PARIGI                        	1		
001003	VIA PARINI	PARINI                        	1		
001005	VIA PARISI - CORATO	PARISI - CORATO               	1		
000106	VIA PARISI - ROTATORIA	PARISI- ROTATORIA	ALTAMURA	1	CO
001007	VIA PARMA	PARMA                         	1		
001011	VIA PASCOLI G	 PASCOLI                      	1		
001012	VIA PASSARELLI SANTORO	PASSARELLI SANTORO            	1		
001013	VIA PASTRENGO	PASTRENGO                     	1		
001015	VIA PASUBIO	PASUBIO                       	1		
001019	VIA PAVIA	PAVIA                         	1		
001021	VIA PEDOTA	PEDOTA                        	1		
001022	VIA PELLICO S	PELLICO S                     	1		
001025	VIA PEPE G	PEPE G                        	1		
001027	VIA PERGOLESI	PERGOLESI                     	1		
001029	VIA PEROSI	PEROSI                        	1		
001031	VIA PERUGIA	PERUGIA                       	1		
001033	VIA PESARO	PESARO                        	1		
001035	VIA PESCARA	PESCARA                       	1		
001039	VIA PETRARCA	PETRARCA                      	1		
001038	VIA PETRARCA LATO SCUOLE 	PETRARCA	ALTAMURA	1	CO
001041	VIA PETRELLA	PETRELLA                      	1		
001043	VIA PIACENZA	PIACENZA                      	1		
001045	VIA PIAVE	PIAVE                         	1		
001047	VIA PICCINNI	PICCINNI                      	1		
001049	VIA PIEMONTE	PIEMONTE                      	1		
001051	VIA PIMENTEL	PIMENTEL                      	1		
001053	VIA PINEROLO	PINEROLO                      	1		
001424	VIA PINUCCIO TATARELLA	TATARELLA	ALTAMURA	1	CO
001054	VIA PIO XII	PIO XII                       	1		
001057	VIA PISA	PISA                          	1		
001059	VIA PISACANE	PISACANE                      	1		
001063	VIA PISTOIA	PISTOIA                       	1		
001067	VIA PO	PO                            	1		
001069	VIA POLA	POLA                          	1		
002325	VIA POLIGNANO A MARE	POLIGNANO	1		
001071	VIA POMPEI	POMPEI                        	1		
001073	VIA PONCHIELLI	PONCHIELLI                    	1		
001079	VIA PORDENONE	PORDENONE                     	1		
001083	VIA PORTALBA	PORTALBA                      	1		
001085	VIA POSITANO	POSITANO                      	1		
001087	VIA POSTUMIA	POSTUMIA                      	1		
001089	VIA POTENZA	POTENZA                       	1		
001091	VIA PRATO	PRATO                         	1		
001093	VIA PREMUDA	PREMUDA                       	1		
001095	VIA PRIORE ORAZIO	PRIORE ORAZIO                 	1		
001099	VIA PUCCINI	PUCCINI                       	1		
001101	VIA PUGLIE	PUGLIE                        	1		
001102	VIA PUTIGNANO	PUTIGNANO                     	1		
001228	VIA Q. SELLA FRONTE CAMPETTO	Q. SELLA	ALTAMURA	1	CO
001226	VIA Q. SELLA FRONTE VILLA COMUNALE	Q. SELLA	ALTAMURA	1	CO
001104	VIA QUASIMODO	QUASIMODO                     	1		
002271	VIA R. DICILLO	DI CILLO	1		
001103	VIA RAGUSA	RAGUSA                        	1		
001105	VIA RAPALLO	RAPALLO                       	1		
001107	VIA RAPISARDI	RAPISARDI                     	1		
001109	VIA RAVENNA	RAVENNA                       	1		
001113	VIA REDIPUGLIA	REDIPUGLIA                    	1		
001115	VIA REGGIO CALABRIA	REGGIO CALABRIA               	1		
001119	VIA RENO	RENO                          	1		
001121	VIA REPUBBLICA PARTENOPEA	REPUBBLICA PARTENOPEA         	1		
001127	VIA RESPIGHI OTT	RESPIGHI OTT                  	1		
001131	VIA RICCIONE	RICCIONE                      	1		
001133	VIA RICOVERO	RICOVERO                      	1		
001135	VIA RIETI	RIETI                         	1		
001137	VIA RIMINI	RIMINI                        	1		
001141	VIA RIZZO L	RIZZO L                       	1		
001143	VIA RODI	RODI                          	1		
001145	VIA ROMA	ROMA                          	1		
001147	VIA ROMAGNA	ROMAGNA                       	1		
001149	VIA RONCHETTI SCIPIONE	RONCHETTI SCIPIONE            	1		
001151	VIA ROSSETTI	ROSSETTI                      	1		
001153	VIA ROSSINI	ROSSINI                       	1		
001159	VIA ROVERETO	ROVERETO                      	1		
001161	VIA ROVIGO	ROVIGO                        	1		
001163	VIA RUGGERO PAOLO	RUGGERO PAOLO                 	1		
001165	VIA RUVO	RUVO                          	1		
001295	VIA S AGNESE	S AGNESE                      	1		
001297	VIA S AGOSTINO	S AGOSTINO                    	1		
001299	VIA S AMBROGIO	S AMBROGIO                    	1		
001300	VIA S ANDREA	S ANDREA                      	1		
001301	VIA S ANGELO	S ANGELO                      	1		
001303	VIA S ANNA	S ANNA                        	1		
001305	VIA S ANTONIO	S ANTONIO                     	1		
001307	VIA S BENEDETTO	S BENEDETTO                   	1		
001311	VIA S CATERINA	S CATERINA                    	1		
001313	VIA S CHIARA	S CHIARA                      	1		
001315	VIA S COSMA	S COSMA                       	1		
001317	VIA S CROCE	S CROCE                       	1		
001319	VIA S DAMIANO	S DAMIANO                     	1		
001321	VIA S DIEGO	S DIEGO                       	1		
001323	VIA S DOMENICO	S DOMENICO                    	1		
001325	VIA S DONATO	S DONATO                      	1		
001327	VIA S FELICE	S FELICE                      	1		
001329	VIA S FILIPPO	S FILIPPO                     	1		
001331	VIA S FRANCESCO	S FRANCESCO                   	1		
001333	VIA S GAETANO	S GAETANO                     	1		
001335	VIA S GENNARO	S GENNARO                     	1		
001337	VIA S GIACOMO	S GIACOMO                     	1		
001339	VIA S GIORGIO	S GIORGIO                     	1		
001341	VIA S GIOVANNI BOSCO	S GIOVANNI BOSCO              	1		
001345	VIA S GIROLAMO	S GIROLAMO                    	1		
001347	VIA S GIUSEPPE	S GIUSEPPE                    	1		
001349	VIA S GIUSTO	S GIUSTO                      	1		
001351	VIA S IGNAZIO	S IGNAZIO                     	1		
001353	VIA S IRENE	S IRENE                       	1		
001355	VIA S LAZZARO	S LAZZARO                     	1		
001356	VIA S LEONARDO	S LEONARDO                    	1		
001361	VIA S LUCA	S LUCA                        	1		
001362	VIA S LUCIA	S LUCIA                       	1		
001363	VIA S LUIGI	S LUIGI                       	1		
001365	VIA S MARCO	S MARCO                       	1		
001367	VIA S MARINO	S MARINO                      	1		
001370	VIA S MARTINO	S MARTINO                     	1		
001369	VIA S MARTINO LATO VILLA	S MARTINO LATO VILLA          	1		
001371	VIA S MATTEO	S MATTEO                      	1		
001373	VIA S MICHELE	S MICHELE                     	1		
001375	VIA S NICOLA	S NICOLA                      	1		
001377	VIA S PAOLO	S PAOLO                       	1		
001379	VIA S PASQUALE	S PASQUALE                    	1		
001381	VIA S PIETRO	S PIETRO                      	1		
001383	VIA S RAFFAELE	S RAFFAELE                    	1		
001385	VIA S REMO	S REMO                        	1		
001387	VIA S RITA	S RITA                        	1		
001389	VIA S ROCCO	S ROCCO                       	1		
001391	VIA S SALVATORE	S SALVATORE                   	1		
001393	VIA S SEBASTIANO	S SEBASTIANO                  	1		
001395	VIA S SILVESTRO	S SILVESTRO                   	1		
001397	VIA S STEFANO	S STEFANO                     	1		
001399	VIA S TARCISIO	S TARCISIO                    	1		
001401	VIA S TERESA	S TERESA                      	1		
001403	VIA S TOMMASO	S TOMMASO                     	1		
001409	VIA S VALENTINO	S VALENTINO                   	1		
001405	VIA S VINCENZO	S VINCENZO                    	1		
001407	VIA S VITO	S VITO                        	1		
002327	VIA S. PERTINI	PERTINI	1		
002053	VIA S.C.E. 40 POLISCIAZZO	S.C.E. 40 POLISCIAZZO         	1		
