Codice	Denominazione	Chiave	Comune	Zona	Ente propr.
000419	PIAZZA DALLA CHIESA	DALLA CHIESA                  	1		
000431	PIAZZA DE NAPOLI	DE NAPOLI                     	1		
000881	PIAZZA DON MINZONI	DON MINZONI                   	1		
000471	PIAZZA DUOMO	DUOMO                         	1		
000470	PIAZZA DUOMO LATO CATTEDRALE	DUOMO LATO CATTEDRALE         	1		
000483	PIAZZA EPITAFFIO LATO FAL	EPITAFFIO LATO FAL            	1		
000493	PIAZZA EUROPA	EUROPA                        	1		
000515	PIAZZA FIERAMOSCA E.	FIERAMOSCA E.                 	1		
000659	PIAZZA ITALIA	ITALIA                        	1		
002006	PIAZZA LAUDATI	S.P.41                        	1		
000696	PIAZZA LAUDATI LATO SCUOLE	LAUDATI	ALTAMURA	1	CO
000695	PIAZZA LAUDATI R.	LAUDATI R.                    	1		
000762	PIAZZA MADONNA DELLA SANITA'	MADONNA DELLA SANITA'         	1		
000795	PIAZZA MARCONI	MARCONI                       	1		
000811	PIAZZA MARTIRI	MARTIRI                       	1		
000837	PIAZZA MATTEOTTI	MATTEOTTI                     	1		
002231	PIAZZA MATTEOTTI 1^ FILA	MATTEOTTI	1		
002232	PIAZZA MATTEOTTI 2^ FILA	MATTEOTTI	1		
002233	PIAZZA MATTEOTTI 3^ FILA	MATTEOTTI	1		
002234	PIAZZA MATTEOTTI 4^ FILA	MATTEOTTI	1		
002243	PIAZZA MATTEOTTI 5^ FILA	MATTEOTTI	1		
000855	PIAZZA MERCADANTE	MERCADANTE                    	1		
000921	PIAZZA MORO A	MORO A                        	1		
000919	PIAZZA MUNICIPIO	MUNICIPIO                     	1		
001061	PIAZZA PISCITELLI	PISCITELLI                    	1		
001123	PIAZZA REPUBBLICA	REPUBBLICA                    	1		
001125	PIAZZA RESISTENZA	RESISTENZA                    	1		
001139	PIAZZA RISORGIMENTO	RISORGIMENTO                  	1		
001343	PIAZZA S GIOVANNI	S GIOVANNI                    	1		
001359	PIAZZA S LORENZO	S LORENZO                     	1		
001400	PIAZZA S TERESA	S TERESA                      	1		
002229	PIAZZA S TERESA LATO BAGNI PUBB.	S TERESA	1		
001281	PIAZZA STAZIONE	STAZIONE                      	1		
001515	PIAZZA UNITA D'ITALIA	UNITA D'ITALIA                	1		
001579	PIAZZA ZANARDELLI	ZANARDELLI                    	1		
001578	PIAZZA ZANARDELLI FRONTE CHIESA	PIAZZA ZANARDELLI	ALTAMURA	1	CO
001580	PIAZZA ZANARDELLI LATO VILLETT	ZANARDELLI LATO VILLETTA      	1		
000856	PZZA S. MERCADANTE FRONTE VILLA COM	MERCADANTE	ALTAMURA	1	CO
002318	S.C.E 121 CIMIRUTELLA	S.C.E  CIMIRUTELLA	ALTAMURA	1	CO
001598	S.C.E 123 GROTTOLE	123 GROTTOLE                  	1		
001590	S.C.E 86 CORRENTE CAVALLO	86 CORRENTE CAVALLO           	1		
002027	S.C.E CAPO SALICE	CAPO SALICE                   	1		
002200	S.C.E LA MENA	LA MENA                       	1		
001594	S.C.E LAMA DI CERVO	LAMA DI CERVO                 	1		
002010	S.C.E N.34 ANGIOLELLA	N.34 ANGIOLELLA               	1		
002008	S.C.E SGARRONE	SGARRONE                      	1		
001470	S.C.E TORRE LA MACCHIA	TORRE LA MACCHIA              	1		
002337	S.C.E. 102 LA PUTTA	LA PUTTA	1		
000338	S.C.E. 107 BARONE	BARONE	ALTAMURA	1	CO
002338	S.C.E. 110 MURGIA CATENA	S.C.E. MURGIA CATENA		1	CO
002317	S.C.E. 120 BELVEDERE	BELVEDERE	1		
002316	S.C.E. 125 SAN GIOVANNI	SAN GIOVANNI		1	CO
000340	S.C.E. 142 PARCO DEL VECCHIO BOVIO 	S.C.E. 142	ALTAMURA	1	CO
000336	S.C.E. 148 SAN TOMMASO	SCE 148 SAN TOMMASO		1	CO
SCE 42	S.C.E. 42 GROTTE DI SAN GIORGIO	SCE  42			
002303	S.C.E. 65 CHINUNNO	CHINUNNO	1		
002304	S.C.E. 68 CURTO MAIURO	S.C.E. CURTO MAIURO		1	CO
002302	S.C.E. 69 VECCHIA DI CASSANO	S.C.E.69 VECCHIA CASSANO		1	CO
002269	S.C.E. 84 LA CARRERA	S.C.E. 84	1		
002268	S.C.E. 94 MERCADANTE	S.C.E.MERCADANTE		1	CO
000020	S.C.E. CASSANESE	S.C.E. CASSANESE	1		
002315	S.C.E. SERRA PORCARO	PORCARO	1		
002336	S.C.E.111 FONTANA LA CHIANCA	S.C.E.111 LA CHIANCA F.			CO
002324	S.C.E.132 CALCALADDA - SPOTA	S.C.E.132 CALCAPADDA		1	CO
002057	S.P. 11	11                            	1		
001599	S.P. 151 per Ruvo	151 per Ruvo                  	1		
002002	S.P. 157	157                           	1		
001592	S.P. 159	159                           	1		
001596	S.P. 160 SANTERAMO ALTAMURA	S.P. 160	ALTAMURA	1	CO
002048	S.P. 173	173                           	1		
002004	S.P. 175	175                           	1		
002054	S.P. 177	177                           	1		
002052	S.P. 18	18                            	1		
000202	S.P. 202 MURGE DI GRAVINA	S.P. 202	ALTAMURA	1	CO
002001	S.P. 235 PER SANTERAMO	235 PER SANTERAMO             	1		
002049	S.P. 238	238                           	1		
001420	S.P. 28	28                            	1		
000254	S.P. FORESTA MERCADANTE	FORESTA MERCADANTE            	1		
002029	S.P. PER CASSANO MURGE	PER CASSANO MURGE             	1		
002047	S.P. PER LATERZA	PER LATERZA                   	1		
000100	S.P.79	S.P.79	1		
001516	S.S. 96 - INGRESSO OSPEDALE " F. PE	SS96			
002018	S.S. 96 - INGRESSO OSPEDALE "F. PER	SS 96			
002031	S.S. S.S. 378 PER CORATO	S.S. 378 PER CORATO           	1		
000099	SANT'AGOSTINO	VIA			
000102	SCE 101 POZZO ROSSO	S.C.E.  POZZO ROSSO		1	CO
000986	SCE 33 PACCIARELLA	PACCIARELLA		1	CO
000994	SCE 92 PONTRELLI	SCE PONTRELLI		1	
000704	SCE LE CRUSTE	LE CRUSTE                     	1		
000710	SCE MANFREDI	SCE MANFREDI		1	CO
002055	SP 202	S.P. 202	ALTAMURA	1	CO
001418	SP 27 TARANTINA	27 TARANTINA                  	1		
002301	SP 35	SP 35	1		
002299	SP 41	SP 41		1	CO
002300	SP 79	SP 79	1		
002038	SP157 ALTAMURA QUASANO	ALTAMURA QUASANO              	1		
001270	SPAZIANTE LUCA	SPAZIANTE                     	1		
002210	SS 96	SS 96			
002017	SS 96 direzione GRAVINA al Km.	 96 direzione GRAVINA al Km.  	1		
002003	SS 99	SS .99                        	1		
002012	SS 99 ROTATORIA	SS 99 	ALTAMURA	1	CO
002016	SS. 96 DIREZIONE ALTAMURA	96 DIREZIONE ALTAMURA         	1		
000096	SS.96 DIREZ. BARI	SS.96 DIREZ. BARI             	1		
002039	SS378 PER CORATO	PER CORATO                    	1		
002235	STALLO 1	STALLO	1		
002273	STALLO 10	STALLO	1		
002274	STALLO 11	STALLO	1		
002275	STALLO 12	STALLO	1		
002236	STALLO 2	STALLO	1		
002237	STALLO 3	STALLO	1		
002238	STALLO 4	STALLO	1		
002239	STALLO 5	STALLO	1		
002240	STALLO 6	STALLO	1		
002241	STALLO 7	STALLO	1		
002244	STALLO 8	STALLO	1		
002245	STALLO 9	STALLO	1		
002020	STR COMLE ESTERNA CORRENTE	COMLE ESTERNA CORRENTE        	1		
000707	STR PRIV LEMMA	PRIV LEMMA                    	1		
001352	STR VICINALE S. IRENE	ST. VIC. S.IRENE		1	CO
000435	STR. PRIV. DENORA	PRIV. DENORA                  	1		
002011	STR. PROV. PER LATERZA	PROV. PER LATERZA             	1		
002335	STR. VIC. VILLA SERENA	SERENA	1		
000228	STR. VIC.CARRERA	 STR. VIC.CARRERA             	1		
002015	STR.VIC. SERRONE DI CALEOL	STR.VIC. SERRONE DI CALEOLI   	1		
002341	STRADA DI COLLEGAMENTO CASITA	CASITA		1	
000197	STRADA PRIV. CAMOGLI	CAMOGLI                       	1		
002344	SVINCOLO DIRMAZIONE SS99 - SS96	SVINCOLO			ST
