Articolo	Comma	Codice	Descrizione	Sanzione 60gg.	Sanz. sconto 30%	Punti patente	Codice sanz. acc.	Sanzione Accessoria 1	Data Istat	Data inizio validità effettiva	Data inizio validità	Data fine validità	Sosta Mov.	Annotazioni	Sosta disco	Sosta ticket	Transito ztl	Sosp. patente breve	Magg. notte	Utilizzabile dagli operatori abilitati
007	1 A) E 15		SOSTA IN ZONA DISCO ECCEDENDO L'ORARIO DI SCADENZA	26,00	18,20	0	0		01/01/2021	14/12/2024	14/12/2024		S		SI					Verbali CA & SP
007	1 F) E 15		SOSTAVA IN ZONA LIMITATA E REGOLAMENTATA (Disco)	26,00	18,20	0	0		01/01/2021	14/12/2024	14/12/2024		S		SI					Verbali CA & SP
007	1 F) E 14	00010	SOSTAVA VIOLANDO LE PRESCRIZ. SU TARIFFE ORARIE	42,00	29,40	0	0		01/01/2021	14/12/2024	14/12/2024					SI				Verbali CA & SP
007	14		TRANSITO IN ZTL SENZA AUTORIZZAZIONE	83,00	58,10	0	0		01/01/2021	14/12/2024	14/12/2024		A				SI			Verbali CA & SP
7	9 E 14	146P1	TRANSITO IN ZTL SENZA AUT. AUTOMATICO	83,00	58,10	0	0		01/01/2021	01/01/2009	01/01/2021									Verbali CA & SP
007	1A) 15	00799	SOSTA NEI CENTRI ABITATI (MOTOCICLI)	26,00	18,20		0		01/01/2021	01/01/2020	01/01/2021									Verbali CA & SP
007	1F)15	00798	SOSTA IN AREA A PAGAMENTO NEI CENT. ABITATI (MOTO)	26,00	18,20		0		01/01/2021	01/01/2020	01/01/2021									Verbali CA & SP
7	1 A) E 14	00701	SOSTA IN LOCALITA' VIETATA	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 15	90716	SOSTA IN ZONA LIMITATA E REGOLAMENTATA	26,00	18,20	0	0		01/01/2021	01/01/2009	01/01/2021									Verbali CA & SP
007	1 F) E 14	722	SOSTAVA VIOL. TAR. ORARIE (10%-50%) 0,80	29,00	20,30	0	0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
007	1 F) E 15	B0750	SOSTA STRISCE BLU - PAGAMENTO INSUFFICIENTE +50%	42,00	29,40		0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
007	1 F) E 15	B07	SOSTA STRISCE BLU - OMESSO PAGAMENTO TICKET	42,00	29,40		0		01/01/2021	14/12/2024	14/12/2024									Verbali CA & SP
7	1 A) E14	00703	SOSTA IN DIVIETO DI FERMATA	42,00	29,40	0	71	RIMOZIONE DEL VEICOLO	01/01/2021	01/01/1997	01/01/2021		S							Verbali CA & SP
7	1 A) E 15	92704	SOSTA LIMITATA (DISCO ORARIO)	26,00	18,20	0	0		01/01/2021	01/01/2009	01/01/2021									Verbali CA & SP
7	1 A) E 14	07000	SOSTA IN ZONA RISERVATA A MOTOCICLI E CICLOMOTORI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 14	08000	SOSTA IN ZONA RISERVATA AD ALTRE CATEG. DI VEICOLI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 14	00715	CIRCOLAZIONE NONOSTANTE GLI OBBLIGHI O LIMITAZIONI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 A) E 14	06000	SOSTA IN ZONA VIETATA PER ESIGENZE DI PULIZIA	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 14		SOSTA  VIETATA PER ESIGENZE TECNICHE PULIZIA STRAD	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 15	00716	SOSTA IN ZONA LIMITATA E REGOLAMENTATA	26,00	18,20	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) e 15 	92705	SOSTA LIMITATA (DISCO ORARIO)	44,00	30,80	0	0		01/01/2007	01/01/2005	01/01/2007									Verbali CA & SP
7	1 A) e 15	92706	SOSTA LIMITATA (DISCO ORARIO)	66,00	46,20	0	0		01/01/2007	01/01/2005	01/01/2007									Verbali CA & SP
7	1 G) E 14	00714	INOSSERVANZA DEGLI ORARI DI CARICO E SCARICO MERCI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 H) E 14		AUTOCARAVAN SOSTAVA NON UTILIZANDO AREE RISERVATE	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 14	00712	CIRCOLAZIONE SU CORSIE RISERVATE AI MEZZI PUBBLICI	83,00	58,10	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 A) E 14	00711	ZONA INTERDETTA CIRCOLAZIONE	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021		M							Verbali CA & SP
7	1 A) E 13	0800	LIMITAZIONE CIRCOLAZIONE ORDINANZA SINDACO	87,00	60,90	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 A) E 14	00709	CIRCOLAZIONE SU CORSIE RISERVATE 	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 A) E 14	00708	CIRCOLAZ. SENZA PNEUMATICI NEVE	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 A) E 14	00707	CIRCOLAZ. SENZA MEZZI ANTISDRUCCIOLEVOLI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	1 A) E 14	00706	CIRCOLAZIONE NONOSTANTE IL DIVIETO	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									
7	11 e 14	90704	SOSTA IN SPAZI RISERVATI AI RESIDENTI	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 E) E 14		SOSTA NON CORRETTA IN PARCHEGGIO AUTORIZZATO	42,00	29,40	0	0		01/01/2021	01/01/1997	01/01/2021									Verbali CA & SP
7	1 F) E 15	91701	01 SOSTA IN ZONA A PAGAMENTO OLTRE I LIMITI	26,00	18,20	0	0		01/01/2021	01/01/2003	01/01/2021									Verbali CA & SP
7	1 F) E 15	91702	02 SOSTA IN ZONA A PAGAMENTO OLTRE I LIMITI	44,00	30,80	0	0		01/01/2007	01/01/2003	01/01/2007									Verbali CA & SP
7	1 I) E 14	90703	CIRCOLAZIONE SU STRADE RISERVATE TRASPORTO PUBBL.	42,00	29,40	0	0		01/01/2021	01/01/2005	01/01/2021									Verbali CA & SP
7	1 I) E 14	00111	DIVIETO DI SOSTA CON RIMOZIONE	42,00	29,40	0	0		01/01/2021	01/01/2007	01/01/2021									Verbali CA & SP
7	1 LETT. A)	92764	DIVIETO DI TRANSITO AUTOCARRI	42,00	29,40	0	0		01/01/2021	01/01/2007	01/01/2021									Verbali CA & SP
7	15bis	00704	ESERCIZIO ABUSIVO ATTIVITA' PARCHEGGIATORE	787,00	550,90	0	0		01/01/2021	01/01/2004	01/01/2021									
